South Bay Species vs. Year thru 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Trawls,AG,AS,BBC,BG,BHS,BOC,BP,BPF,BR,BRF,BRO,BS,BSC,BSF,BSK,BSP,CAL,CBZ,CG,CH,CLF,COT,CRF,CRL,CSG,CT,DS,DSP,DT,EP,ES,GBY,GRF,GRU,GS,HB,HH,HMP,JS,KF,KG,KP,KS,LC,LFS,LS,LSD,MFE,MS,NA,NEW,NMS,NS,PB,PEN,PER,PH,PHB,PL,PM,PMS,POM,PP,PS,PSD,PSP,PT,RED,RF,RH,RL,RP,RS,RSP,RUB,SAL,SB,SBG,SC,SCA,SD,SDF,SF,SFS,SGF,SGS,SH,SHI,SHO,SHS,SIL,SIS,SKF,SM,SMS,SN,SPT,SS,SSD,SSN,SSP,STU,SUR,TC,TFS,THS,TP,TPS,TR,TS,TSS,UG,UMS,US,USP,WBS,WC,WHS,WS,WSB,WSP,YG,YR,Grand Total,,Total Trawls,
,,ARROW GOBY,AMERICAN SHAD,BROWN BULLHEAD CATFISH,BAY GOBY,BONYHEAD SCULPIN,BOCACCIO ROCKFISH,BLACK PERCH,BAY PIPEFISH,BAT RAY,BOLINAS ROCKFISH,BROWN ROCKFISH,BROWN SMOOTHHOUND,BUFFALO SCULPIN,BLACKTAIL SNAILFISH,BIG SKATE,BARRED SURFPERCH,CALICO SURFPERCH,CABEZON,CHAMELEON GOBY,CALIFORNIA HALIBUT,CALIFORNIA LIZARDFISH,C-O TURBOT,COPPER ROCKFISH,CURLFIN TURBOT,CHEEKSPOT GOBY,CALIFORNIA TONGUEFISH,DOVER SOLE,DWARF SURFPERCH,DIAMOND TURBOT,EEL POUT,ENGLISH SOLE,GOBY SP.,GRASS ROCKFISH,CALIF (SILVERSIDE) GRUNION,GREEN STURGEON,HALIBUT SP.,HORNYHEAD TURBOT,HALF MOON PERCH,JACKSMELT,KELP FISH,KELP GREENLING,KELP PIPEFISH,KING SALMON,LING COD,LONGFIN SMELT,LEOPARD SHARK,LONGFIN SANDDAB,MONKEY FACE EEL,MUDSUCKER,NORTHERN ANCHOVY,,NORTHERN MIDSHIPMAN,NIGHT SMELT,PACIFIC BUTTERFISH,PENPOINT GUNNEL,PACIFIC ELECTRIC RAY,PACIFIC HERRING,PACIFIC HALIBUT,PACIFIC LAMPREY,PACIFIC MACKEREL,PLAINFIN MIDSHIPMAN,POMPANO,PRICKLEBACK,PACIFIC SARDINE,PACIFIC SANDDAB,PILE SURFPERCH,PACIFIC TOMCOD,REDTAIL SURFPERCH,ROCKFISH,ROUND HERRING,RED IRISH LORD,REEF PERCH,REX SOLE,RAINBOW SURFPERCH,RUBBERLIP SURFPERCH,SALMON SPECIES,STRIPED BASS,SADDLEBACK GUNNEL,SCULPIN SP.,SCALYFIN SOLE,SANDDAB SP.,SPINY DOGFISH,STARRY FLOUNDER,SPOTFIN SURFPERCH,SHOVELNOSE GUITARFISH,SEVENGILL SHARK,UNIDENTIFIED SHAD,SHIMOFURI GOBY,SHOKIHAZE GOBI,STAGHORN SCULPIN,SILVER SURFPERCH,SILVERSIDE,SPOTTED KELPFISH,SMELT SP.,SPECKED FIN MIDSHIPMAN,SNAILFISH SP.,SPOTTED TURBOT,SAND SOLE,SPECKLED SANDDAB,SHOWY SNAILFISH,SHINER SURFPERCH,STURGEON SPECIES,SURF SMELT,TOMCOD,THREADFIN SHAD,THORNY SCULPIN,TULE PERCH,TIDEPOOL SCULPIN,THORNBACK RAY,TOPSMELT,THREE SPINE STICKLEBACK,UNKNOWN GOBY SPECIES,UNIDENTIFIED MIDSHIPMAN,UNKNOWN SOLE SPECIES,"SURFPERCH, SPECIES UNKNOWN",WHITEBAIT SMELT,WHITE CROAKER,WHITE SURFPERCH,WHITE STURGEON,WHITE SEABASS,WALLEYE SURFPERCH,YELLOWFIN GOBY,YELLOWTAIL ROCKFISH,,,,
1971,387,1,29,8,1,,,81,7,55,,,160,,,,49,,,,,,,,,,3,7,476,39,,2265,,,1,,,1,1,92,,,,,64,16,222,1,,143,16044,,1,9,,,,661,16,,1,157,1,,11,12,35,225,,39,52,4,118,,,8,,4,,2,1,17,31,98,,,,,,,596,23,,,121,6,,1,13,760,,7283,1,8,,128,,,,,41,2,800,18,120,438,,47,290,,,75,,,"32,040",3%,387,1971
1972,463,,32,,,,,39,72,56,,,80,,,1,162,,1,,5,,,,,,,,1874,62,,5527,,,,,,,,5,,,,,1,,123,,,1,9142,,,4,,,,1206,,,,22,,,8,65,1139,1,23,2,,2,12,2,1,,,1,,3,,117,12,214,,,,1,,,1197,,,,15,,,,1,14,,27252,1,1,,55,,,,,30,3,449,47,1,8,,,224,,,8,,,"49,324",5%,463,1972
1973,362,,45,,,,,46,75,38,,,106,,,,74,,,1,10,,,,,,3,,851,58,,3254,,,,1,,,,4,,,,,86,,74,,,1,87005,,,,,,,1139,,,,5,,,41,,356,1,,69,,,26,3,,1,,7,,64,1,565,31,78,2,,,65,,,596,,2,,15,,,,16,146,,7164,1,,,19,,,,,15,,456,14,,190,,2,277,1,,40,,,"103,140",11%,362,1973
1974,259,,45,,18,35,,32,65,36,,,27,,,1,177,,,10,4,,,,,,,,703,62,,15028,,,,,,,,4,,,,,5,,53,,,,15181,,,,,,,1231,,,,9,,,,,171,,,282,,,,,,,,13,,,,1866,28,113,,,,19,,,771,,,,1,,,,,1,,4161,,8,9,10,,,,,33,,475,21,,,,2,304,1,,13,37,,"41,065",4%,259,1974
1975,316,,68,,10,10,35,195,40,20,,16,35,1,,,132,,52,3,14,,,2,,,,,556,14,,6890,,6,,,,,,,7,54,7,,82,,125,,,,6114,,,425,,12,,609,,,,74,,1,,,267,11,,644,,9,,,236,9,1,13,,,,234,32,324,,,,45,,,330,,,,2,,,1,6,480,,3828,,134,,7,,,,,453,,567,16,,13,,80,333,,,271,,,"23,955",3%,316,1975
1976,376,,100,,3,3,,9,43,53,,1,61,,,,92,,3,,,,1,,,,,,52,16,,3566,,,,,,,,16,,,,,,,37,,,,10472,,,4,,,,732,1,,,18,,,,29,70,,,1,,,,,1,2,,2,,,,142,9,35,1,,1,23,,,340,,,,14,,,,1,18,,3413,1,3,,3,,,,,18,,1212,7,,1,,7,71,,,7,14,,"20,729",2%,376,1976
1977,335,,9,,12,35,,6,15,58,,13,161,,,6,282,,,16,39,,,,,,432,,143,86,,156,,,,,,,,5,,,,,3,,29,,,,6025,,,,,,,51,,,,38,,,,12,40,4,,34,,,,,,,,1,1,,,694,5,54,,,,,,,147,,,,114,,,,4,137,,2012,,20,,18,,,,,58,,423,11,,,,258,47,1,,30,10,,"11,755",1%,335,1977
1978,277,,24,,21,39,,12,54,17,,39,38,,,,75,,,11,89,,,,,,17,,149,41,,4050,,,,,,,,,,,,,1,4,55,,,,39975,,,,,,,1269,,,,23,,,,,114,7,,16,,,,,,,,5,3,14,,1001,5,75,1,,,2,,,149,,,,1,,,,,34,,3796,,,,7,,,,,8,,483,1,,,,10,208,,,178,16,,"52,137",6%,277,1978
1979,260,,13,,190,37,,20,59,44,,87,19,,,3,194,,,54,88,,2,,,,3,,206,17,,5474,,,,,,,,2,,,,,31,9,54,,,,22275,,,,1,,,1464,,,,37,,,,,60,49,1,7,,,,,,,,,,,,1195,7,40,,,,24,,,398,,,,3,,,,,6,,4333,1,11,2,,,,,,7,,252,2,,,2,26,84,,,37,5,,"36,935",4%,260,1979
1980,279,,7,,579,40,,11,57,35,,27,57,,,1,97,,,23,15,,1,,,,34,,93,14,,4766,,,,,,,,3,,,,,2,,53,,,,7335,,,,,,,1913,,,,32,,,,,26,,,20,,,,,,,,3,,1,,576,5,111,1,,,,,,287,,,,6,,,,3,3,,2762,1,,,12,,,,,13,,335,6,,,,15,127,,,49,10,,"19,567",2%,279,1980
1981,279,,1,,275,47,,10,18,55,,105,33,,,3,95,,,116,16,,,,1,6,1,,286,16,,5525,,,,,,,,,,,,,1,,36,,,,40855,,,,2,,,321,1,,,24,,,,,61,3,,13,,,,,,,,,,3,,657,2,41,,,,37,,,291,,,,1,,,,,26,,3745,1,,,4,,,,,12,,351,5,,,2,41,25,,,33,7,,"53,210",6%,279,1981
1993,605,8,53,,160,16,,3,14,114,,,64,,,1,98,,,378,1277,,,,,,323,,9,62,,436,1,,,,,,,6,,,,,,21,150,,,,23343,,,,,,,165,8,,,30,,,10,839,,,,3,,,,,4,,,45,,,,138,2,6,,,1,,,,1298,,,,,,,,5,152,,3636,,,,11,,,,,15,,4,,,25,,4510,,14,,10,121,,"37,589",4%,605,1993
1994,602,24,119,,90,23,,9,19,320,,,185,,,,67,,1,937,1219,,,,,,76,,39,142,,96,4,,,,,,,5,,,,,,32,156,,,,21087,,,,,,,151,,1,,529,,,80,251,,,,138,,,,,15,,,8,,,,742,1,1,,1,3,,,,637,,,,,,,,1,1204,,3529,,,,135,,,,,171,,,,,,,1251,,2,,4,524,,"34,029",4%,602,1994
1995,547,,52,,145,16,,,32,161,,,37,,,,98,,,1048,720,,1,,,17,51,,18,116,,2702,,,,,,,,4,,1,,,,,86,,,,49199,,,,,,,233,8,,,143,,,225,563,,,,10,,,,,1,,,49,,,,668,,32,,,,,,,5012,,,,,,,,110,1453,,4053,,,,8,,,,,12,1,,,,,,812,,17,,2,733,,"68,649",7%,547,1995
1996,461,20,56,,48,10,,5,9,299,,,48,,,2,67,,,1057,265,,,,,1,,,6,53,1,3383,,,,,,,,,,,,,1,42,41,,,,11099,,,,,,,182,,1,,237,,,297,,,44,,7,,,,,1,,,12,,,,988,,109,,,,,,,2164,,,,,,,,41,,,3042,,,,28,,,,,15,1,419,,,2,,422,,6,,8,744,,"25,283",3%,461,1996
1997,482,,149,,186,20,,8,1,153,,,75,,,,58,,1,664,62,,,,,34,2,,4,25,,1378,269,,,,,,,19,,,,,,76,22,,,,34050,,,,2,,,304,,,,139,,,255,174,,137,,2,,,,,,,,20,,,,136,,157,,,,,,,937,,,,,,,,38,219,,1572,,,,3,,,,,41,,16,,,1,,427,,2,2,2,78,,"41,920",4%,482,1997
1998,594,5,238,,114,87,,4,20,379,,,52,,,,80,,,535,1369,,,,,457,752,,15,56,,377,,,,,,,,4,,,,,3,59,121,,1,,31347,,,,,,,721,,,,140,,,190,115,,44,,1,,,,,5,,,63,,,,6,,391,,,,,,,484,,,,,,,,18,163,,3248,,,,16,,,,,22,,2,,,,,403,,9,4,16,519,,"42,655",5%,594,1998
1999,333,,18,,36,22,,7,6,258,,,28,,,1,13,,,139,2734,,,,,8,8,,5,44,,727,8,,,,,,,9,,,,,,14,92,,,,5306,,,,,,,45,,1,,111,,,128,16,1,1,,1,,,,,3,,,15,,,,53,,71,,,,,,,2078,,,,,,,,42,148,,1123,,,,3,,,,,16,,,,,,,606,,4,,53,162,,"14,164",2%,333,1999
2000,169,2,1,,8,20,,,6,57,,,6,,,,10,,,124,151,,,,,7,,,,7,,322,,,,,,,,1,,,,,,1,27,,,,7325,,,,,,,77,,,,43,,,21,23,,,,,,,,,4,,,25,,,,81,,10,,,,,,,385,,,,,,,,84,150,,399,,,,25,,,,,16,,20,,,,,74,,,,7,65,,"9,584",1%,169,2000
2001,208,,8,,627,12,,1,209,108,,,20,,2,,11,,1,220,25,,,,,804,,,2,25,,2289,146,,,,,,,3,,,,,,4,6,,,,2431,,,,,,,655,,,,615,,,31,271,,1,,6,,,,,,,,3,1,,,164,,13,,1,,,,,407,,,,,,,,78,1272,,574,,,,8,,,1,,86,,11,,,,,115,,1,,11,797,,"12,076",1%,208,2001
2002,365,4,,,594,123,,8,140,155,38,,404,,1,14,138,,,365,88,,,,,1392,58,,39,63,,1182,509,,,,,,,15,,,,,,59,147,,,,12805,,,,,,,232,1,,,1901,,,33,727,1,6,,68,,,,,29,,,5,1,30,,501,,29,,1,1,,,,2545,,,,,,6,,244,1977,11,5900,,,,8,,,,,116,,727,,4,61,,445,,2,,44,219,,"34,217",4%,365,2002
2003,226,1,,,131,31,,3,49,127,,,115,,,11,145,2,,164,24,,,,,314,,,6,28,,2666,328,,,,4,,,15,,,,,1,23,78,,,,9376,,,1,,,,185,,,,244,,,53,61,,,,14,,,,,1,,,2,1,27,,233,,79,,1,1,,,,561,,,,2,,7,,1,370,,2416,,,,,,,,,4,,736,,,,,890,,1,,11,122,,"19,666",2%,226,2003
2004,126,4,,,87,15,,3,13,105,,,61,,,1,186,,,34,27,,,,,12,7,,11,32,,256,,,,,,,,7,,,,,,1,53,,,,3221,,,,,,,229,,,,62,,,106,132,1,,,1,,,,,6,,,1,,,,59,,44,,,,,,,91,,,,,,,,2,109,,1784,,,,,1,,,,7,,62,,,321,,1,1,,,35,99,1,"7,291",1%,126,2004
2005,182,,,,99,1,,1,5,123,,,36,,,,60,1,,61,581,,,,,,145,,2,112,,6,,,,3,,,,,,,,,,12,112,,,,3988,,,,,,,29,,,,27,,,14,14,,,,1,,,,,,,,5,,1,,21,,23,,1,,,,,185,,,,,,,,1,37,,1215,,,1,2,,,,,8,,955,,1,27,,64,,2,,27,43,,"8,052",1%,182,2005
2006,216,14,16,,100,26,,,4,96,,,18,,,,23,,,144,965,,,,,1,1,,,81,,57,,,,,,,,2,,,,,,1,62,,,,6640,,,,,,,268,,,,7,,,70,42,,,,,,,,,,,,18,,,,70,,44,,,,,,,303,,,,,,,,9,28,,2747,,,,1,,,,,12,,255,,,,,35,,1,1,,107,,"12,269",1%,216,2006
2007,139,6,,,246,7,,,2,152,,,13,,,,20,,,132,93,,,,,,10,,,33,,11,,,,,,,,4,,,,,,3,30,,,,5226,,,,,,1,13,,,,30,,,5,12,,,,,,1,,,,,,2,1,,,10,,81,,,3,,,1,55,,,,,,,,,19,,371,,,,19,,,,1,3,,775,,,6,,23,,,,2,190,,"7,612",1%,139,2007
2008,215,,,,81,2,,2,4,227,,,52,,,,173,,,103,28,,,,,23,1,,,28,,229,,,,,1,,,5,,,,,,4,55,,,,10071,,,,,,,367,,,,28,,,,47,,,,,,,,,1,,,2,,,,13,,31,,,3,,,,849,,,,,,,,15,20,,496,,,,6,,,,1,5,,40,,,1,,40,1,,,37,42,,"13,134",1%,215,2008
2009,135,7,3,,242,,,,2,100,,,37,,,,34,,,39,16,,,,,,,,2,16,,356,,,,,4,,,2,,,2,,,,20,,,,10844,,,,,,,86,3,,,12,,,9,13,,,,1,,,,,4,,,1,,,,8,,2,,,1,,,,62,3,,,,,,,3,12,1,180,,,,,,,,,4,,2,,,,,7,1,,,11,81,,"12,233",1%,135,2009
2010,149,11,3,,41,,,,3,158,,,22,,,,86,,,96,32,,,,,,1,,,40,,134,,,,,12,,,1,,,,,,,17,,,,3891,,,,,,,17,,,,1,,,3,28,,,,,,,,,1,,,6,,,,2,,25,,,1,,,,75,3,,,,,,,8,48,,151,,,,,,1,,,2,,15,,,,,23,,1,,3,203,,"5,166",1%,149,2010
2011,228,6,,,162,1,,7,8,91,,,5,,,,209,,,140,7,,,,,,,,8,16,,1764,,,,,4,,,4,,,,,,2,5,,,,17716,,,,,,,591,,,,14,,,7,13,,,,,,,,,1,,,5,,2,,3,,35,,,,,,,656,,,,,,,,5,104,,364,,,,,,1,,1,8,1,19,,,,,10,,1,,4,191,,"22,191",2%,228,2011
2012,166,19,5,,380,,,2,1,113,,,28,,,1,422,,,235,31,,,,,,7,,14,38,,2367,,,,,9,,,,,,,1,,,24,,,,3926,,,,,,,175,2,,,24,,,4,15,,,,,,,,,7,,,2,,,,56,,17,,,,,,,482,,,,,,,,3,139,,756,,,,,,,,1,9,,,,,,,24,,1,,18,179,,"9,537",1%,166,2012
2013,228,5,1,,1112,6,,,9,191,,121,65,,,3,487,,,488,92,8,,,,19,908,,22,19,,2520,,,,,2,,,3,,,1,,,,33,,,,11055,,,,,,,495,,,,65,,,6,75,,,,6,,,,,5,,,,,1,,40,,16,,,1,,25,8,478,,5,,,,,,2,487,,2325,,,,,,,,,136,2,1,,,,,13,,1,,18,322,,"21,703",2%,228,2013
2014,367,7,6,,210,8,,4,7,95,,67,90,,,,341,,,981,126,,,,,,414,,7,27,,2468,,,,,4,,,4,,,,,,1,51,,,,12789,,,,,,,135,1,,,103,,,5,325,,,1,24,,,,,7,,,8,,,,6,,2,,,1,,32,122,390,,,1,,,,1,22,461,,1544,1,,,,,,,,3,,18,,,,,56,,,1,22,427,,"21,428",2%,367,2014
2015,223,,,,19,7,,,3,104,,17,87,,,,35,,,101,396,,,,,,554,,1,22,,7,,,,,,,,1,,,,,,1,88,,,,4903,,,,,,,7,,,,99,,,1,20,,,,5,,,,,,,,11,,,,,,,,1,1,,1,67,18,,,,,,,,,12,,279,,,,,,,,,9,,,,,,,52,,1,,,72,,"7,002",1%,223,2015
2016,137,,1,,14,,,,,63,,1,48,,,,27,,,29,1259,,,1,,,1460,,,15,,13,,,,,,,,,,,,,,,68,,,,2407,2,,,,,,14,75,,,159,,,9,44,,,,2,,,,,,,,19,,,,,,4,,15,,,,8,4,,,,,,,,,14,,17,,,,,,,,3,4,,,,,,,39,,1,1,,366,,"6,206",1%,137,2016
2017,114,8,4,,,,,,1,110,,,2,,,,3,,,56,317,,,,1,,7,,,23,,11,,,,,13,,,10,,,1,,,,33,,,,2744,1,,,,,,11,,,,22,,,4,11,,,,15,,,,,1,,,32,,,,,,11,,2,2,,21,7,17,,,,,,,,,1,,10,,,,,,,,,1,,,,,,,10,,2,,,251,,"3,776",0%,114,2017
2018,103,,1,,2,,,,,154,,1,3,,,,4,,,94,74,,,,,,5,,,5,,13,,,,,3,,,,,,,,,,59,,,,1409,,,,,,,3,,,,254,,,14,,,,,,,,,,,,,1,,,,,,4,1,1,1,,6,8,39,,,,,,,,,1,,2,,,,,,,,,,,,,,,,8,,,,,195,,"2,365",0%,103,2018
Grand Total,"10,913",152,"1,107",8,"6,043",699,35,528,"1,072","4,480",38,495,"2,378",1,3,49,"4,324",3,59,"8,598","12,258",8,5,3,2,"3,095","5,283",7,"5,599","1,553",1,"82,271","1,265",6,1,4,56,1,1,255,7,55,11,1,281,385,"2,497",1,1,145,"568,621",3,1,443,5,12,1,"15,986",116,3,1,"5,478",1,1,"1,640","3,949","2,342",534,25,"1,432",52,16,156,5,334,20,1,409,8,148,2,"11,062",170,"2,420",6,24,21,216,85,221,"25,314",29,7,1,295,6,13,3,776,"10,225",12,"111,482",8,185,12,536,1,2,1,7,"1,413",10,"9,880",148,126,"1,094",4,"10,848","1,993",72,9,"1,086","6,951",1,"943,654",100%,"10,913",
,,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,60%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,100%,,,